month,calendar_year,demand_notice_deposits_B,fixed_term_deposits_B,total_deposits_B,all_12_months_flag,cpi_all_items,boc_bank_rate,boc_target_rate
2008-10-31,2008,0.0,147558.333,147558.333,True,114.80833333333334,2.404516129032258,2.2216129032258065
2008-11-30,2008,0.0,145615.911,145615.911,True,114.64166666666667,2.1266666666666665,1.9633333333333334
2008-12-31,2008,0.0,146068.13,146068.13,True,113.93333333333334,1.7996774193548386,1.616774193548387
2009-01-31,2009,86834.69,139548.401,226383.091,True,113.5,1.4974193548387098,1.3229032258064515
2009-02-28,2009,87910.546,134647.639,222558.185,True,114.28333333333335,1.2871428571428571,1.1114285714285714
2009-03-31,2009,88850.711,132260.448,221111.159,True,114.56666666666666,0.9490322580645161,0.774516129032258
2009-04-30,2009,91108.284,130804.013,221912.297,True,114.5,0.8513333333333333,0.6706666666666666
2009-05-31,2009,92287.068,125657.292,217944.36,True,115.325,0.7838709677419354,0.6177419354838709
2009-06-30,2009,97301.256,121314.402,218615.658,True,115.64999999999999,0.7346666666666667,0.5539999999999999
2009-07-31,2009,97867.345,116359.947,214227.292,True,115.27499999999999,0.7270967741935483,0.5441935483870967
2009-08-31,2009,98472.711,116758.342,215231.053,True,115.325,0.7838709677419354,0.6177419354838709
2009-09-30,2009,101329.771,118182.129,219511.9,True,115.34166666666665,0.7346666666666667,0.5539999999999999
2009-10-31,2009,102509.248,120607.935,223117.183,True,115.26666666666667,0.7554838709677418,0.5809677419354838
2009-11-30,2009,106609.859,122062.361,228672.22,True,115.89999999999999,0.7639999999999999,0.592
2009-12-31,2009,106633.768,120871.779,227505.547,True,115.38333333333333,0.7270967741935483,0.5441935483870967
2010-01-31,2010,105863.924,118404.683,224268.607,True,115.64999999999999,0.7838709677419354,0.6177419354838709
2010-02-28,2010,105882.318,117861.218,223743.536,True,116.22500000000001,0.7514285714285714,0.5757142857142856
2010-03-31,2010,105731.631,115924.19,221655.821,True,116.22500000000001,0.7270967741935483,0.5441935483870967
2010-04-30,2010,110474.749,116317.94,226792.689,True,116.60000000000001,0.7346666666666667,0.5539999999999999
2010-05-31,2010,112294.59,122053.149,234347.739,True,116.89166666666667,0.7838709677419354,0.6177419354838709
2010-06-30,2010,111866.175,126024.046,237890.221,True,116.72500000000001,0.9179999999999999,0.7373333333333333
2010-07-31,2010,111065.219,127036.971,238102.19,True,117.29166666666667,1.0054838709677418,0.8309677419354838
2010-08-31,2010,110907.53,130549.119,241456.649,True,117.23333333333333,1.1103225806451613,0.9358064516129032
2010-09-30,2010,112215.584,132564.092,244779.676,True,117.43333333333334,1.2429999999999999,1.0623333333333334
2010-10-31,2010,112578.879,134092.228,246671.107,True,117.925,1.2919354838709676,1.1258064516129032
2010-11-30,2010,112108.619,132361.726,244470.345,True,118.10000000000001,1.2846666666666666,1.1039999999999999
2010-12-31,2010,114750.408,135885.528,250635.936,True,117.95,1.283548387096774,1.1006451612903225
2011-01-31,2011,114525.21,144457.318,258982.528,True,118.18333333333334,1.2919354838709676,1.1258064516129032
2011-02-28,2011,113617.319,143253.641,256870.96,True,118.55833333333334,1.2871428571428571,1.1114285714285714
2011-03-31,2011,114317.491,156375.788,270693.279,True,119.8,1.283548387096774,1.1006451612903225
2011-04-30,2011,117223.76,161378.302,278602.062,True,120.175,1.2890000000000001,1.117
2011-05-31,2011,118968.97,152444.063,271413.033,True,120.90833333333335,1.287741935483871,1.1132258064516127
2011-06-30,2011,120158.35,147032.763,267191.113,True,120.11666666666667,1.2846666666666666,1.1039999999999999
2011-07-31,2011,119098.223,142229.21,261327.433,True,120.29166666666667,1.2919354838709676,1.1258064516129032
2011-08-31,2011,119541.174,141098.798,260639.972,True,120.54166666666667,1.283548387096774,1.1006451612903225
2011-09-30,2011,123082.644,138994.456,262077.1,True,121.03333333333335,1.2846666666666666,1.1039999999999999
2011-10-31,2011,123600.224,131809.416,255409.64,True,121.2,1.2919354838709676,1.1258064516129032
2011-11-30,2011,120203.913,134175.764,254379.677,True,121.3,1.2846666666666666,1.1039999999999999
2011-12-31,2011,124293.194,136241.047,260534.241,True,120.5,1.287741935483871,1.1132258064516127
2012-01-31,2012,120799.695,137835.246,258634.941,True,120.99166666666667,1.287741935483871,1.1132258064516127
2012-02-29,2012,121322.337,138323.756,259646.093,True,121.52499999999999,1.2858620689655171,1.1075862068965516
2012-03-31,2012,120572.683,138703.98,259276.663,True,122.075,1.287741935483871,1.1132258064516127
2012-04-30,2012,121942.193,137611.614,259553.807,True,122.60000000000001,1.2890000000000001,1.117
2012-05-31,2012,122793.211,144347.964,267141.175,True,122.55833333333334,1.283548387096774,1.1006451612903225
2012-06-30,2012,122661.462,147776.192,270437.654,True,121.94166666666666,1.2890000000000001,1.117
2012-07-31,2012,122588.818,147002.301,269591.119,True,121.76666666666667,1.287741935483871,1.1132258064516127
2012-08-31,2012,123206.97,146807.457,270014.427,True,122.11666666666667,1.283548387096774,1.1006451612903225
2012-09-30,2012,124356.976,142875.524,267232.5,True,122.34166666666665,1.2933333333333332,1.13
2012-10-31,2012,124144.613,139337.222,263481.835,True,122.56666666666666,1.283548387096774,1.1006451612903225
2012-11-30,2012,125376.408,143371.474,268747.882,True,122.31666666666666,1.2846666666666666,1.1039999999999999
2012-12-31,2012,127687.664,146295.797,273983.461,True,121.58333333333333,1.2919354838709676,1.1258064516129032
2013-01-31,2013,126890.849,141994.06,268884.909,True,121.60000000000001,1.283548387096774,1.1006451612903225
2013-02-28,2013,127133.442,146553.483,273686.925,True,123.04166666666667,1.2871428571428571,1.1114285714285714
2013-03-31,2013,128721.502,147158.194,275879.696,True,123.28333333333335,1.2919354838709676,1.1258064516129032
2013-04-30,2013,129434.71,139720.062,269154.772,True,123.075,1.2846666666666666,1.1039999999999999
2013-05-31,2013,130077.389,147377.825,277455.214,True,123.34166666666665,1.283548387096774,1.1006451612903225
2013-06-30,2013,130519.32,151031.442,281550.762,True,123.33333333333333,1.2933333333333332,1.13
2013-07-31,2013,131456.567,143875.948,275332.515,True,123.39999999999999,1.283548387096774,1.1006451612903225
2013-08-31,2013,133918.529,151530.195,285448.724,True,123.425,1.287741935483871,1.1132258064516127
2013-09-30,2013,134695.682,151212.412,285908.094,True,123.60833333333333,1.2890000000000001,1.117
2013-10-31,2013,136138.664,142793.86,278932.524,True,123.44166666666666,1.283548387096774,1.1006451612903225
2013-11-30,2013,138074.056,149198.451,287272.507,True,123.36666666666667,1.2890000000000001,1.117
2013-12-31,2013,139762.246,147420.69,287182.936,True,123.01666666666667,1.287741935483871,1.1132258064516127
2014-01-31,2014,139997.714,141492.725,281490.439,True,123.3,1.283548387096774,1.1006451612903225
2014-02-28,2014,138933.085,148826.413,287759.498,True,124.375,1.2871428571428571,1.1114285714285714
2014-03-31,2014,140774.88,149604.253,290379.133,True,125.04166666666667,1.2919354838709676,1.1258064516129032
2014-04-30,2014,141745.566,143117.356,284862.922,True,125.375,1.2846666666666666,1.1039999999999999
2014-05-31,2014,143911.083,149126.707,293037.79,True,125.925,1.287741935483871,1.1132258064516127
2014-06-30,2014,144317.313,151032.603,295349.916,True,126.03333333333335,1.2890000000000001,1.117
2014-07-31,2014,145817.483,146624.41,292441.893,True,125.82499999999999,1.283548387096774,1.1006451612903225
2014-08-31,2014,147656.125,152071.07,299727.195,True,125.95,1.2919354838709676,1.1258064516129032
2014-09-30,2014,148896.357,153076.849,301973.206,True,126.09166666666668,1.2846666666666666,1.1039999999999999
2014-10-31,2014,149912.843,149312.239,299225.082,True,126.25,1.283548387096774,1.1006451612903225
2014-11-30,2014,151706.322,156892.997,308599.319,True,125.74166666666667,1.2933333333333332,1.13
2014-12-31,2014,154987.369,153945.376,308932.745,True,124.875,1.283548387096774,1.1006451612903225
2015-01-31,2015,156293.544,156049.047,312342.591,True,124.75833333333333,1.223225806451613,1.0487096774193547
